timestamp,event_type,detail,text
2026-05-08T23:19:09.958387+00:00,led_color,sample=2050,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.965503+00:00,led_color,sample=2060,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.972951+00:00,led_color,sample=2070,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.979108+00:00,led_color,sample=2080,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.007460+00:00,led_color,sample=2090,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.013860+00:00,led_color,sample=2100,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.025003+00:00,led_color,sample=2110,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.031330+00:00,led_color,sample=2120,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.037260+00:00,led_color,sample=2130,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.057515+00:00,led_color,sample=2140,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.063684+00:00,led_color,sample=2150,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.072835+00:00,led_color,sample=2160,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.078914+00:00,led_color,sample=2170,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.088054+00:00,led_color,sample=2180,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.099828+00:00,led_color,sample=2190,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.114145+00:00,led_color,sample=2200,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.120280+00:00,led_color,sample=2210,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.161451+00:00,led_color,sample=2220,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.167909+00:00,led_color,sample=2230,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.175121+00:00,led_color,sample=2240,"r=1.000,g=1.000,b=0.000,a=1.000"
